bikeid,start station id_2020,start station id_2021,bike_id_count_change
18220,2.0,71.0,34.5
27705,17.0,64.0,2.764705882352941
27808,17.0,29.0,0.7058823529411765
32971,2.0,67.0,32.5
34038,21.0,76.0,2.619047619047619
35358,7.0,127.0,17.142857142857142
38511,21.0,1.0,-0.9523809523809523
39591,4.0,6.0,0.5
40517,16.0,2.0,-0.875
42105,54.0,124.0,1.2962962962962963
42108,126.0,50.0,-0.6031746031746031
42112,121.0,54.0,-0.5537190082644629
42117,118.0,29.0,-0.7542372881355932
42120,128.0,145.0,0.1328125
42138,101.0,100.0,-0.009900990099009901
42141,99.0,106.0,0.0707070707070707
42143,132.0,7.0,-0.946969696969697
42147,144.0,68.0,-0.5277777777777778
42150,133.0,118.0,-0.11278195488721804
42153,89.0,106.0,0.19101123595505617
42155,89.0,51.0,-0.42696629213483145
42157,97.0,119.0,0.2268041237113402
42159,71.0,144.0,1.028169014084507
42160,121.0,152.0,0.256198347107438
42161,89.0,101.0,0.1348314606741573
42174,97.0,143.0,0.4742268041237113
42177,128.0,90.0,-0.296875
42178,77.0,76.0,-0.012987012987012988
42186,114.0,8.0,-0.9298245614035088
42191,90.0,101.0,0.12222222222222222
42192,113.0,6.0,-0.9469026548672567
42195,70.0,104.0,0.4857142857142857
42205,108.0,94.0,-0.12962962962962962
42206,66.0,37.0,-0.4393939393939394
42209,77.0,27.0,-0.6493506493506493
42213,123.0,130.0,0.056910569105691054
42219,119.0,143.0,0.20168067226890757
42230,159.0,99.0,-0.37735849056603776
42232,71.0,30.0,-0.5774647887323944
42240,100.0,108.0,0.08
42249,84.0,88.0,0.047619047619047616
42250,109.0,45.0,-0.5871559633027523
42251,101.0,43.0,-0.5742574257425742
42257,82.0,40.0,-0.5121951219512195
42277,50.0,155.0,2.1
42280,111.0,99.0,-0.10810810810810811
42293,82.0,75.0,-0.08536585365853659
42300,47.0,107.0,1.2765957446808511
42307,71.0,112.0,0.5774647887323944
42308,95.0,62.0,-0.3473684210526316
42311,120.0,116.0,-0.03333333333333333
42314,133.0,69.0,-0.48120300751879697
42316,109.0,57.0,-0.47706422018348627
42331,74.0,49.0,-0.33783783783783783
42335,136.0,2.0,-0.9852941176470589
42340,120.0,37.0,-0.6916666666666667
42342,86.0,33.0,-0.6162790697674418
42343,99.0,128.0,0.29292929292929293
42354,148.0,80.0,-0.4594594594594595
42358,117.0,118.0,0.008547008547008548
42363,104.0,130.0,0.25
42364,146.0,1.0,-0.9931506849315068
42370,103.0,74.0,-0.2815533980582524
42371,113.0,115.0,0.017699115044247787
42382,120.0,32.0,-0.7333333333333333
42396,82.0,159.0,0.9390243902439024
42417,92.0,18.0,-0.8043478260869565
42419,109.0,63.0,-0.42201834862385323
42422,111.0,129.0,0.16216216216216217
42423,91.0,107.0,0.17582417582417584
42432,105.0,73.0,-0.3047619047619048
42434,57.0,62.0,0.08771929824561403
42435,74.0,3.0,-0.9594594594594594
42439,73.0,82.0,0.1232876712328767
42444,82.0,16.0,-0.8048780487804879
42450,74.0,80.0,0.08108108108108109
42452,109.0,55.0,-0.4954128440366973
42453,79.0,141.0,0.7848101265822784
42456,60.0,52.0,-0.13333333333333333
42470,137.0,130.0,-0.051094890510948905
42473,117.0,55.0,-0.5299145299145299
42481,91.0,39.0,-0.5714285714285714
42485,82.0,113.0,0.3780487804878049
42492,96.0,6.0,-0.9375
42494,109.0,140.0,0.28440366972477066
42495,122.0,129.0,0.05737704918032787
42525,112.0,103.0,-0.08035714285714286
42526,87.0,16.0,-0.8160919540229885
42527,121.0,35.0,-0.7107438016528925
42535,116.0,6.0,-0.9482758620689655
42538,105.0,88.0,-0.1619047619047619
42542,102.0,48.0,-0.5294117647058824
42574,74.0,71.0,-0.04054054054054054
42575,81.0,60.0,-0.25925925925925924
42580,111.0,51.0,-0.5405405405405406
42582,93.0,94.0,0.010752688172043012
42585,73.0,71.0,-0.0273972602739726
42586,119.0,4.0,-0.9663865546218487
42593,96.0,103.0,0.07291666666666667
42596,104.0,127.0,0.22115384615384615
42601,99.0,120.0,0.21212121212121213
42614,93.0,123.0,0.3225806451612903
42625,76.0,101.0,0.32894736842105265
42635,87.0,58.0,-0.3333333333333333
